SSN,Psa asand,Psa asilt,Psa aclay,Psa c1clay,Psa c1silt,Psa c1sand,Psa c2clay,Psa c2silt,Psa c2sand,Psa c3clay,Psa c3silt,Psa c3sand,Psa c4clay,Psa c4silt,Psa c4sand,Psa w1clay,Psa w1silt,Psa w1sand,Psa w2clay,Psa w2silt,Psa w2sand,Psa w3clay,Psa w3silt,Psa w3sand,Psa w4clay,Psa w4silt,Psa w4sand,A brooks,B brooks,Alpha brooks,Wcvfri,Sucjkgi,Wcvfrsat,Wcvfrfc10,Wcvfrfc33,Wcvfrwp1500,Wcvfrairdry,Awc1,Awc2,Ksat,Volfr,Lshrinkpct,Plwcgpct,Llwcgpct,Piwcgpct,Total nitrogen,Total carbon,Acidified nitrogen,Acidified carbon
icr005928,90.993,8.111666667,0.896333333,8.755,17.737,73.507,18.4,14.887,66.713,20.781,15.015,64.204,18.815,15.056,66.129,7.96,20.989,71.051,20.163,17.409,62.428,18.243,12.58,69.177,19.058,12.348,68.595,0.324251,4.54242,-0.220147,0.202973,0.52106,0.225315,0.105917,0.081436,0.035148,0.006827,0.070768,0.046288,3.751339,1.19,0,,,,0.034659319,0.472341756,0.029621345,0.425854405
icr005929,87.847,11.416,0.737,11.579,28.366,60.055,12.867,7.323,79.811,12.866,7.133,80.001,12.264,7.299,80.437,8.482,28.495,63.023,20.374,17.356,62.27,16.986,8.181,74.833,16.017,7.822,76.161,0.423546,4.880834,-0.204883,0.166701,0.68176,0.183779,0.096155,0.07529,0.034445,0.006475,0.06171,0.040845,1.563436,1.192,5,9.321152,15.865797,6.544645,0.022545991,0.267117788,0.023068986,0.263235499
icr005946,94.40833333,5.335333333,0.256,19.12,37.152,43.727,32.795,21.443,45.762,27.922,18.415,53.663,26.457,18.246,55.297,9.139,30.326,60.534,31.31,24.441,44.25,28.27,14.838,56.892,28.418,15.244,56.338,0.776293,3.725148,-0.268446,0.273276,1.241039,0.309956,0.156075,0.113276,0.04066,0.0092,0.115414,0.072616,9.489612,1.17128,5.714286,15.284816,18.047263,2.762447,0.031389142,0.404901157,0.031339549,0.392982831
icr005947,94.60133333,5.239333333,0.159,16.789,38.919,44.293,26.389,19.326,54.285,24.458,17.693,57.85,24.115,17.82,58.065,8.178,29.81,62.012,26.483,23.711,49.806,27.341,21.523,51.136,25.367,19.051,55.581,0.817968,4.093072,-0.244315,0.285872,1.311024,0.320794,0.174017,0.12999,0.051161,0.011744,0.122856,0.078829,8.944474,1.198744,0,,,,0.017422978,0.245474055,0.017062043,0.233495613
icr005965,90.01533333,9.195666667,0.789,25.012,45.955,29.033,39.663,30.493,29.844,32.496,25.411,42.092,31.999,25.643,42.359,8.076,32.169,59.755,23.94,33.892,42.167,29.694,25.068,45.239,33.745,23.347,42.908,0.667184,5.246433,-0.190606,0.250799,1.075621,0.274701,0.163966,0.130594,0.063093,0.013761,0.100874,0.067501,3.992571,1.081575,5,14.959416,22.178398,7.218982,0.086142813,1.143696864,0.083145402,0.860801299
icr005966,88.32666667,11.07366667,0.6,12.01,35.606,52.383,33.016,20.696,46.289,25.424,14.876,59.7,23.537,14.922,61.541,6.092,24.599,69.309,17.275,22.4,60.325,26.367,18.93,54.703,26.89,14.295,58.815,0.506971,4.786822,-0.208907,0.254569,0.815684,0.281159,0.150804,0.117515,0.052944,0.013655,0.097861,0.064571,5.794788,1.124206,5.714286,14.710201,23.634329,8.924128,0.053300625,0.762786309,0.05456703,0.731870254
icr005985,93.33133333,6.013,0.655333333,17.941,46.694,35.365,61.433,23.445,15.122,52.169,19.181,28.65,50.513,19.007,30.481,7.502,33.302,59.197,30.343,38.32,31.338,44.753,30.886,24.361,51.225,24.972,23.803,0.148339,4.928801,-0.202889,0.24432,0.238826,0.269105,0.114522,0.089885,0.041437,0.007836,0.073085,0.048449,7.838483,1.096889,7.142857,19.341164,27.236204,7.895041,0.156864509,1.528926293,0.147645906,1.399423997
icr005986,94.39533333,5.289333333,0.315,10.079,21.466,68.455,22.934,16.977,60.089,17.227,12.3,70.473,16.44,12.15,71.41,8.395,34.014,57.591,29.332,40.053,30.615,36.319,27.276,36.405,40.405,22.376,37.22,0.055459,5.165678,-0.193585,0.21545,0.08938,0.236304,0.086444,0.068606,0.03277,0.007035,0.053674,0.035836,6.442057,1.049132,,,,,0.076236707,1.301443656,0.072276302,0.792260329
icr005998,84.502,13.37533333,2.122,15.781,32.264,51.955,28.542,21.977,49.481,18.79,15.078,66.132,17.17,14.768,68.062,8.28,19.923,71.797,23.59,24.425,51.984,26.97,19.18,53.849,20.587,14.443,64.971,0.468061,5.614162,-0.178121,0.214449,0.755646,0.233548,0.135372,0.109439,0.055452,0.011382,0.079919,0.053986,2.544226,1.146281,3.571429,14.955129,21.936414,6.981285,0.069543426,0.65791597,0.063852972,0.662248929
icr005999,86.299,12.651,1.05,24.509,35.226,40.265,31.417,24.41,44.172,30.855,26.952,42.193,15.621,12.91,71.469,8.832,28.132,63.036,30.102,25.672,44.226,33.357,23.463,43.18,29.727,20.161,50.112,0.777445,5.153554,-0.194041,0.230547,1.252905,0.252915,0.15407,0.12221,0.058273,0.012169,0.095797,0.063937,2.903746,1.133,4.285714,14.568838,21.697002,7.128164,0.054425529,0.453510652,0.046600573,0.408363283
icr006015,89.339,9.905666667,0.755333333,13.749,32.708,53.543,33.755,18.34,47.905,33.097,15.862,51.041,21.813,10.444,67.743,7.259,25.271,67.47,21.213,22.115,56.672,27.831,18.449,53.72,20.333,10.957,68.711,1.318723,4.040361,-0.247503,0.248859,2.112903,0.279656,0.169379,0.126045,0.049008,0.011111,0.12037,0.077037,4.400055,1.184244,5,13.164676,18.744453,5.579777,0.039477115,0.364220609,0.031335357,0.366224428
icr006016,92.082,7.452,0.466,14.02,35.416,50.564,33.929,18.429,47.642,19.45,10.623,69.927,17.81,7.497,74.694,7.497,24.383,68.12,26.206,18.046,55.748,25.764,11.756,62.479,28.217,10.677,61.106,0.768766,4.390382,-0.227771,0.209411,1.234359,0.23326,0.130034,0.099073,0.041534,0.008701,0.0885,0.057539,2.95128,1.172005,4.285714,11.893134,20.542482,8.649348,0.040625588,0.370883167,0.02904144,0.324788928
icr006035,85.982,12.28666667,1.731,13.583,20.214,66.203,13.252,7.875,78.873,10.656,6.268,83.076,10.3,6.346,83.353,7.555,20.313,72.133,17.643,18.306,64.051,15.715,9.907,74.378,16.716,10.702,72.582,0.630967,4.099637,-0.243924,0.146976,1.011345,0.164902,0.084046,0.062812,0.024758,0.006196,0.059288,0.038054,1.176996,1.185,4.285714,24.510884,18.10132,-6.409563,0.042164549,0.366569877,0.036257197,0.350373417
icr006036,89.58366667,9.81,0.606333333,15.303,24.667,60.03,19.717,9.487,70.796,11.719,5.301,82.98,10.762,5.417,83.821,7.209,28.418,64.372,23.417,25.456,51.127,26.052,14.623,59.325,22.522,11.218,66.26,0.193099,4.377501,-0.228441,0.162708,0.310024,0.181292,0.073584,0.056018,0.023425,0.005155,0.050159,0.032594,2.36076,1.167,4.285714,12.811552,21.114006,8.302454,0.028153601,0.240818659,0.020814048,0.200710878
icr006055,89.42866667,9.598,0.973666667,26.203,42.803,30.994,62.399,16.751,20.85,61.082,15.336,23.582,55.787,15.541,28.672,11.411,28.693,59.896,39.849,31.592,28.559,47.95,21.269,30.782,54.995,17.03,27.975,0.648696,5.52769,-0.180907,0.327568,1.046941,0.357198,0.21777,0.175467,0.087968,0.023628,0.129802,0.087498,8.508798,1.039445,7.142857,17.180373,27.9701,10.789727,0.060083006,0.791180034,0.059769875,0.802221696
icr006056,93.56033333,6.199,0.241,22.358,47.796,29.846,45.767,20.974,33.259,32.804,17.825,49.37,32.592,17.362,50.046,7.827,29.009,63.164,28.688,23.904,47.408,34.434,16.016,49.55,36.237,13.437,50.327,0.663641,5.352625,-0.186824,0.265747,1.070357,0.290571,0.175049,0.140052,0.068646,0.018039,0.106404,0.071406,4.620434,0.9765,6.428571,16.153806,22.947109,6.793303,0.049827166,0.51521039,0.035273246,0.532230417
icr006076,85.72066667,12.91566667,1.363666667,12.291,21.33,66.379,11.284,10.869,77.848,11.024,11.238,77.739,10.028,11.361,78.611,7.124,15.784,77.092,11.88,13.112,75.008,14.084,12.178,73.738,15.762,12.606,71.632,0.03244,5.216195,-0.191711,0.212449,0.052293,0.232814,0.077599,0.061724,0.029695,0.00524,0.047904,0.032029,6.890192,1.113569,6.428571,14.285714,22.25432,7.968606,0.110944492,1.108943105,0.104812754,1.261690974
icr006077,87.016,12.02233333,0.961666667,17.514,40.725,41.761,36.516,28.403,35.082,29.108,23.875,47.017,27.531,24.2,48.269,8.68,30.819,60.501,25.533,32.739,41.728,26.258,21.432,52.31,28.155,20.813,51.032,1.552006,5.225509,-0.191369,0.260444,2.501902,0.285364,0.199784,0.158977,0.076582,0.017295,0.123203,0.082395,2.622772,1.095,5.714286,14.568694,20.804938,6.236244,0.090885306,0.980122626,0.076690147,0.879808823
icr006085,90.68966667,8.967666667,0.343,10.623,39.456,49.921,24.458,33.26,42.281,24.587,30.746,44.667,20.68,24.829,54.491,7.104,32.099,60.798,16.044,25.425,58.531,20.033,23.603,56.364,21.05,22.625,56.325,4.130295,4.733467,-0.211262,0.294877,6.643673,0.326026,0.270473,0.210175,0.093842,0.011767,0.17663,0.116333,1.903222,1.09934,0,,,,0.121205037,1.555941383,0.112928949,1.585866332
icr006086,86.32166667,12.601,1.078333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.082941564,1.012610773,0.071295775,0.999555469
icr006101,98.119,1.730666667,0.150333333,11.795,32.999,55.206,26.384,18.928,54.688,26.529,17.625,55.846,26.943,17.828,55.229,8.422,19.447,72.131,20.445,21.047,58.508,25.976,17.843,56.181,24.666,14.498,60.836,0.058722,6.758132,-0.14797,0.351405,0.095124,0.377404,0.176464,0.147888,0.084074,0.021552,0.09239,0.063814,18.768005,1.090938,5,19.877172,26.937264,7.060092,0.108517634,1.188027819,0.092501993,1.093615373
icr006102,99.00033333,0.945,0.082,8.969,31.905,59.126,23.378,20.796,55.826,26.708,19.315,53.977,16.952,12.274,70.774,4.177,13.474,82.349,16.307,22.353,61.34,22.699,18.336,58.965,27.769,15.927,56.304,0.245596,5.411492,-0.184792,0.30075,0.3962,0.328538,0.165619,0.132829,0.065613,0.016933,0.100007,0.067217,10.702431,1.072,4.285714,16.45751,20.149909,3.692399,0.048362871,0.582100848,0.031177139,0.452756842
icr006121,90.15,8.848,1.002,16.381,36.404,47.215,24.06,20.622,55.318,23.163,16.873,59.964,22.93,17.308,59.762,10.507,32.677,56.816,22.912,23.218,53.87,25.117,21.049,53.834,23.203,18.58,58.217,,,,,,,,,,,,,,,,,,,0.056292893,0.518075198,0.054682328,0.572449843
icr006122,90.32933333,8.839666667,0.831333333,21.091,45.122,33.787,35.602,22.438,41.96,33.969,20.226,45.806,28.507,17.365,54.127,7.292,33.348,59.36,24.811,21.032,54.157,27.742,16.397,55.861,29.103,14.309,56.588,6.00E-06,11.890385,-0.084102,0.302167,1.00E-05,0.314873,0.094391,0.085373,0.061932,0.013897,0.032458,0.023441,20.613243,1.185,0,,,,0.028639069,0.249405538,0.024693209,0.271031136
icr006142,86.48933333,11.56766667,1.943,9.579,35.642,54.779,17.761,39.396,42.843,20.476,38.477,41.047,19.447,34.668,45.885,7.738,29.4,62.861,15.728,33.516,50.756,17.699,30.55,51.751,19.748,31.603,48.65,,,,,,,,,,,,,,,,,,,0.214322835,2.256526391,0.210696518,2.328887145
icr006143,82.93466667,14.44733333,2.618,16.301,40.582,43.117,25.547,34.634,39.819,26.423,33.97,39.607,27.088,34.347,38.566,11.346,31.16,57.494,20.561,28.751,50.688,24.984,31.627,43.39,22.49,27.991,49.519,,,,,,,,,,,,,,,,,,,0.102257937,1.140547991,0.104082058,1.125800888
icr006152,84.44133333,12.826,2.733,11.652,24.127,64.22,18.274,26.017,55.709,19.293,25.827,54.88,14.117,17.999,67.884,8.197,18.598,73.205,13.495,20.28,66.225,13.952,17.999,68.049,14.202,16.993,68.805,0.451822,5.893971,-0.169665,0.237776,0.730119,0.257947,0.15252,0.124552,0.065181,0.008153,0.087339,0.059372,3.254915,0.971,4.285714,16.733604,21.84497,5.111366,0.117985703,1.323036631,0.107261156,1.297412992
icr006153,80.03166667,16.50566667,3.462666667,19.275,29.191,51.534,25.044,27.076,47.88,17.533,18.049,64.417,15.243,17.381,67.376,11.827,28.28,59.894,19.431,20.501,60.068,22.44,19.959,57.601,23.322,19.38,57.298,1.422112,4.101334,-0.243823,0.196126,2.279454,0.220036,0.13676,0.10222,0.040307,0.006639,0.096453,0.061913,1.873762,0.9885,3.571429,17.313054,19.172035,1.858981,0.041423264,0.503590047,0.039751897,0.442576677
icr006164,97.63,2.349333333,0.021,9.234,31.901,58.865,20.878,34.607,44.515,20.556,31.87,47.574,21.154,32.16,46.686,4.811,19.747,75.442,15.575,26.134,58.291,17.591,22.4,60.009,20.276,21.173,58.551,0.377852,5.718566,-0.174869,0.357167,0.610232,0.388396,0.219024,0.177754,0.091193,0.015608,0.127831,0.086561,13.737206,0.938255,3.571429,16.484037,30.551538,14.067501,0.258502712,3.268205881,0.253198947,3.245208104
icr006165,88.44533333,10.68533333,0.869666667,12.067,30.138,57.795,18.449,28.201,53.349,11.844,18.273,69.882,11.984,18.794,69.222,5.566,17.345,77.089,12.417,19.455,68.129,15.142,19.12,65.737,16.664,19.221,64.115,0.419827,5.454639,-0.18333,0.206004,0.677384,0.224887,0.125757,0.101035,0.050187,0.008034,0.07557,0.050848,2.50015,1.0455,3.571429,16.484037,21.804033,5.319996,0.08065524,1.047313571,0.069901442,1.018807054
icr006179,96.51366667,3.327,0.159333333,14.342,44.07,41.588,27.075,35.547,37.378,27.529,35.649,36.822,25.016,32.633,42.35,8.545,35.922,55.533,23.929,29.371,46.7,26.748,28.856,44.396,30.048,31.666,38.286,,,,,,,,,,,,,,,,,,,0.100637299,1.242857695,0.092345715,1.224069595
icr006180,90.01966667,9.672333333,0.308333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.123373546,1.588119626,0.101363669,1.461591323
icr006454,94.82933333,4.702,0.469,9.528,27.41,63.061,39.327,20.239,40.434,45.86,13.11,41.03,48.569,10.149,41.282,6.701,20.678,72.621,26.05,30.879,43.071,32.27,19.86,47.87,37.294,16.577,46.13,0.078237,6.723592,-0.14873,0.388942,0.126725,0.417865,0.203106,0.170061,0.096399,0.026054,0.106707,0.073662,23.865463,1.113,7.857143,16.271657,22.302545,6.030888,0.055318703,0.882089317,0.04698526,0.978439371
